,City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,{0},Crib Point,-38.35,145.2,86.0,48,0,4.23,AU,2021-02-10 02:29:49
1,{1},Barrow,71.2906,-156.7887,-22.0,69,1,17.27,US,2021-02-10 02:24:57
2,{2},Lata,40.1629,-8.3327,55.0,93,100,7.0,PT,2021-02-10 02:29:49
3,{3},Progreso,21.2833,-89.6667,77.0,78,40,14.97,MX,2021-02-10 02:29:49
4,{5},Ushuaia,-54.8,-68.3,62.6,72,0,4.61,AR,2021-02-10 02:29:50
5,{6},Hithadhoo,-0.6,73.0833,82.02,81,72,14.79,MV,2021-02-10 02:29:50
6,{7},Usogorsk,63.4106,48.6872,-14.94,88,98,3.67,RU,2021-02-10 02:29:50
7,{8},Soyo,-6.1349,12.3689,77.29,87,100,5.06,AO,2021-02-10 02:29:50
8,{9},Shitanjing,39.2342,106.3439,34.99,66,0,13.13,CN,2021-02-10 02:29:50
9,{10},Ust'-Omchug,61.15,149.6333,4.71,90,100,12.88,RU,2021-02-10 02:29:50
10,{11},Tasiilaq,65.6145,-37.6368,14.0,62,75,3.74,GL,2021-02-10 02:29:50
11,{13},Tuktoyaktuk,69.4541,-133.0374,-38.2,67,20,5.75,CA,2021-02-10 02:29:51
12,{15},Loa Janan,-0.583,117.095,83.71,84,92,0.6,ID,2021-02-10 02:29:51
13,{16},Abnūb,27.2696,31.1511,51.8,58,0,1.81,EG,2021-02-10 02:29:51
14,{17},Ouadda,8.0777,22.4007,62.35,28,85,5.21,CF,2021-02-10 02:29:51
15,{18},Pevek,69.7008,170.3133,-4.38,75,0,3.04,RU,2021-02-10 02:29:51
16,{19},Sioux Lookout,50.1001,-91.917,-18.4,76,1,4.61,CA,2021-02-10 02:29:51
17,{20},‘Āhuimanu,21.4447,-157.8378,75.2,49,1,16.11,US,2021-02-10 02:29:51
18,{21},Te Anau,-45.4167,167.7167,55.33,75,100,6.38,NZ,2021-02-10 02:29:51
19,{22},Mataura,-46.1927,168.8643,49.86,93,100,10.63,NZ,2021-02-10 02:29:52
20,{23},Hobart,-42.8794,147.3294,72.0,42,20,3.44,AU,2021-02-10 02:26:41
21,{24},Usinsk,65.9939,57.5281,-23.73,87,94,4.47,RU,2021-02-10 02:29:52
22,{25},Kostyantynivka,48.5277,37.7069,32.61,96,94,6.82,UA,2021-02-10 02:29:42
23,{26},Albany,42.6001,-73.9662,25.0,62,0,1.99,US,2021-02-10 02:25:24
24,{27},Larap,14.299,122.6504,75.04,90,100,11.3,PH,2021-02-10 02:29:52
25,{28},Kapaa,22.0752,-159.319,71.6,49,75,14.97,US,2021-02-10 02:27:35
26,{29},Hambantota,6.1241,81.1185,73.4,88,75,8.05,LK,2021-02-10 02:29:52
27,{30},Sorong,-0.8833,131.25,85.12,72,100,6.67,ID,2021-02-10 02:29:52
28,{31},Puerto Ayora,-0.7393,-90.3518,78.01,91,79,4.52,EC,2021-02-10 02:29:53
29,{33},Ust-Maya,60.4167,134.5333,-12.33,88,19,2.01,RU,2021-02-10 02:29:53
30,{34},Iqaluit,63.7506,-68.5145,1.4,85,75,3.24,CA,2021-02-10 02:28:12
31,{35},Cape Town,-33.9258,18.4232,68.0,82,0,12.66,ZA,2021-02-10 02:29:05
32,{36},Punta Arenas,-53.15,-70.9167,62.6,63,0,2.3,CL,2021-02-10 02:29:53
33,{37},Bredasdorp,-34.5322,20.0403,55.4,88,87,2.3,ZA,2021-02-10 02:29:53
34,{38},Yellowknife,62.456,-114.3525,-9.0,77,90,11.5,CA,2021-02-10 02:28:27
35,{39},Cherskiy,68.75,161.3,-2.25,85,0,2.66,RU,2021-02-10 02:29:53
36,{40},Iskateley,67.6803,53.1512,-11.33,90,100,3.06,RU,2021-02-10 02:29:53
37,{41},Saint-Félicien,48.6501,-72.4491,1.4,78,40,1.12,CA,2021-02-10 02:29:54
38,{42},Hilo,19.7297,-155.09,71.6,68,75,14.97,US,2021-02-10 02:29:15
39,{43},Katsuura,35.1333,140.3,51.01,29,75,4.61,JP,2021-02-10 02:29:54
40,{44},Sembakung,3.8167,117.25,77.0,94,75,4.61,ID,2021-02-10 02:29:54
41,{45},Olinda,-8.0089,-34.8553,78.8,73,40,5.75,BR,2021-02-10 02:29:06
42,{46},Thompson,55.7435,-97.8558,-31.0,68,1,5.75,CA,2021-02-10 02:29:54
